"Title","Gross Domestic Product: quarter on quarter growth rate: CP SA %"
"1990 Q1","2.1"
"1990 Q2","2.8"
"1990 Q3","1.9"
"1990 Q4","0.2"
"1991 Q1","1.9"
"1991 Q2","1.2"
"1991 Q3","0.9"
"1991 Q4","1.5"
"1992 Q1","1.0"
"1992 Q2","0.2"
"1992 Q3","0.2"
"1992 Q4","1.6"
"1993 Q1","2.5"
"1993 Q2","0.2"
"1993 Q3","1.8"
"1993 Q4","1.2"
"1994 Q1","1.6"
"1994 Q2","0.9"
"1994 Q3","1.1"
"1994 Q4","2.1"
"1995 Q1","0.6"
"1995 Q2","1.2"
"1995 Q3","1.8"
"1995 Q4","1.1"
"1996 Q1","1.7"
"1996 Q2","2.0"
"1996 Q3","1.9"
"1996 Q4","1.7"
"1997 Q1","0.0"
"1997 Q2","0.6"
"1997 Q3","3.1"
"1997 Q4","-1.1"
"1998 Q1","1.5"
"1998 Q2","1.5"
"1998 Q3","1.2"
"1998 Q4","2.6"
"1999 Q1","0.7"
"1999 Q2","-0.3"
"1999 Q3","1.1"
"1999 Q4","1.5"
"2000 Q1","2.2"
"2000 Q2","1.2"
"2000 Q3","1.0"
"2000 Q4","0.5"
"2001 Q1","0.9"
"2001 Q2","2.0"
"2001 Q3","0.2"
"2001 Q4","1.0"
"2002 Q1","0.9"
"2002 Q2","1.1"
"2002 Q3","1.5"
"2002 Q4","1.6"
"2003 Q1","1.3"
"2003 Q2","1.2"
"2003 Q3","2.0"
"2003 Q4","1.5"
"2004 Q1","0.2"
"2004 Q2","2.2"
"2004 Q3","0.6"
"2004 Q4","1.4"
"2005 Q1","1.0"
"2005 Q2","2.6"
"2005 Q3","0.6"
"2005 Q4","2.2"
"2006 Q1","0.8"
"2006 Q2","1.6"
"2006 Q3","0.9"
"2006 Q4","1.4"
"2007 Q1","1.4"
"2007 Q2","1.2"
"2007 Q3","1.3"
"2007 Q4","1.0"
"2008 Q1","1.8"
"2008 Q2","-0.2"
"2008 Q3","-0.4"
"2008 Q4","-0.9"
"2009 Q1","-2.2"
"2009 Q2","0.3"
"2009 Q3","0.8"
"2009 Q4","-0.5"
"2010 Q1","1.6"
"2010 Q2","1.7"
"2010 Q3","0.6"
"2010 Q4","0.6"
"2011 Q1","2.2"
"2011 Q2","-0.8"
"2011 Q3","1.0"
"2011 Q4","1.0"
"2012 Q1","0.6"
"2012 Q2","0.4"
"2012 Q3","2.0"
"2012 Q4","0.4"
"2013 Q1","0.6"
"2013 Q2","1.0"
"2013 Q3","2.1"
"2013 Q4","1.0"
"2014 Q1","1.1"
"2014 Q2","0.9"
"2014 Q3","1.3"
"2014 Q4","0.2"
"2015 Q1","0.8"
"2015 Q2","1.4"
"2015 Q3","0.2"
"2015 Q4","0.4"
"2016 Q1","1.4"
"2016 Q2","1.6"
"2016 Q3","0.9"
"2016 Q4","1.4"
"2017 Q1","1.0"
"2017 Q2","0.5"
"2017 Q3","0.8"
"2017 Q4","1.5"
"2018 Q1","0.6"
"2018 Q2","0.9"
"2018 Q3","1.1"
"2018 Q4","0.7"
"2019 Q1","1.2"
"2019 Q2","0.8"
"2019 Q3","1.2"
"2019 Q4","-0.1"
"2020 Q1","-1.0"
"2020 Q2","-13.1"
"2020 Q3","11.9"
"2020 Q4","1.6"
"2021 Q1","0.7"
"2021 Q2","3.4"
"2021 Q3","1.6"
